Wavelength,Lamps-00,Lamps-01,Lamps-02,Lamps-03,Lamps-04,Lamps-05,Lamps-06,Lamps-07,Lamps-08,Lamps-09,Lamps-10,Lamps-11,Lamps-12
1860.000000,0.009022,7.207551,14.334930,21.164971,28.408984,35.418968,42.500586,49.538357,56.281009,63.680189,70.557597,77.865029,84.582519
1870.000000,0.016584,6.470570,13.009064,19.175050,25.810466,32.243746,38.648460,45.055631,51.258887,57.984136,64.292371,70.913575,77.003747
1880.000000,0.000000,5.608867,11.437855,16.840105,22.717325,28.365058,34.072626,39.721063,45.172108,51.163626,56.617245,62.492202,67.928974
1890.000000,0.027106,4.596482,9.555690,14.226922,19.241403,24.061754,28.897864,33.731263,38.414191,43.476466,48.137746,53.179875,57.713786
1900.000000,0.044533,3.735822,7.897761,11.806245,15.935538,20.024600,24.059629,28.150684,32.106634,36.296721,40.214944,44.394093,48.216783
1910.000000,0.000000,2.993941,6.505171,9.902411,13.444076,16.911138,20.241357,23.733613,27.090881,30.676258,34.019127,37.592699,40.854685
1920.000000,0.005406,2.557136,5.785369,8.672009,11.860701,14.882133,17.972994,21.066440,24.067149,27.255518,30.240601,33.385357,36.332507
1930.000000,0.017603,2.417029,5.427262,8.220203,11.196358,14.094687,17.036507,19.969531,22.768874,25.846737,28.676132,31.681372,34.544674
1940.000000,0.006013,2.384144,5.278528,8.106204,11.032628,13.937318,16.734758,19.685213,22.453357,25.478274,28.273676,31.254753,34.075068
1950.000000,0.030671,2.339953,5.290033,8.121604,10.979951,13.905163,16.743293,19.598696,22.428394,25.377879,28.173481,31.147542,34.068752
1960.000000,0.000000,2.466071,5.467823,8.256410,11.230992,14.252505,17.103360,20.127200,23.019281,26.010350,28.933528,31.938804,34.977886
1970.000000,0.000000,2.541948,5.692026,8.598593,11.745668,14.710718,17.684225,20.803652,23.809034,26.923594,29.899212,33.116494,36.166715
1980.000000,0.000045,2.706934,5.850986,8.862390,12.130623,15.316893,18.301680,21.572649,24.677140,27.887484,30.951410,34.256710,37.476291
1990.000000,0.037930,2.842567,6.175743,9.235122,12.553112,15.865121,19.035170,22.313056,25.538332,28.898049,32.079470,35.466539,38.732475
2000.000000,0.015363,2.907182,6.376284,9.553434,12.909876,16.364413,19.572480,23.044260,26.318011,29.771577,32.969263,36.515636,39.872027
2010.000000,0.003772,3.101828,6.511936,9.816462,13.302999,16.775387,20.054082,23.600931,26.941611,30.448998,33.851151,37.398476,40.772606
2020.000000,0.037864,3.057078,6.668501,9.905070,13.453137,16.889029,20.249763,23.753328,27.239140,30.703013,34.136791,37.698688,41.168574
2030.000000,0.000000,3.075707,6.588923,9.928383,13.309043,16.850159,20.111520,23.702415,27.074496,30.472234,33.925093,37.431096,40.865331
2040.000000,0.003315,2.935193,6.437729,9.744370,13.024459,16.532665,19.804179,23.199666,26.517746,29.942380,33.306311,36.795136,40.163883
2050.000000,0.000000,2.972601,6.353226,9.390183,12.679855,16.162429,19.191130,22.602265,25.849219,29.187171,32.443402,35.698340,38.997935
2060.000000,0.011374,2.879529,5.986908,9.022373,12.346642,15.571223,18.613309,21.788571,25.002313,28.136865,31.269569,34.561155,37.732186
2070.000000,0.002585,2.739347,5.913567,8.871171,11.922850,15.039316,18.004177,21.243511,24.218602,27.337606,30.411867,33.518001,36.495350
2080.000000,0.000000,2.609701,5.768904,8.589794,11.653560,14.795374,17.618787,20.750686,23.633278,26.740216,29.645231,32.742677,35.776649
2090.000000,0.000000,2.534190,5.670872,8.472568,11.412673,14.547353,17.290677,20.298071,23.227397,26.136691,29.030846,32.113628,34.966845
2100.000000,0.000000,2.552885,5.561809,8.453124,11.393506,14.435338,17.164714,20.178325,22.943692,25.927198,28.747852,31.872052,34.783770
2110.000000,0.024688,2.609335,5.593649,8.413234,11.337436,14.362305,17.198758,20.097162,22.906371,25.961683,28.769467,31.710413,34.660516
2120.000000,0.000000,2.626217,5.554114,8.432234,11.335540,14.390839,17.063848,20.153911,23.003466,25.941924,28.801586,31.842313,34.659269
2130.000000,0.065435,2.657479,5.711103,8.503959,11.469221,14.552135,17.212755,20.318746,23.121130,26.062552,28.996621,32.094822,34.968680
2140.000000,0.000000,2.647282,5.637918,8.541357,11.550432,14.444853,17.323464,20.396884,23.254631,26.163450,29.015044,32.143882,35.043995
2150.000000,0.000000,2.711527,5.659990,8.556065,11.517719,14.668941,17.378574,20.564347,23.333411,26.380884,29.215032,32.224691,35.224509
2160.000000,0.026127,2.624958,5.762604,8.667980,11.642471,14.707813,17.508915,20.578792,23.529579,26.402904,29.355735,32.420427,35.319420
2170.000000,0.041642,2.617148,5.813005,8.614779,11.706243,14.690249,17.534070,20.520263,23.486856,26.384355,29.357090,32.399305,35.360408
